combination,n_features,n_folds,r2_mean,r2_std,rmse_mean,rmse_std,correlation_mean,win_rate_mean,monotonic_pct,consistency
month_only,1,3,-0.03955599132033227,0.13091289857973262,3.8892170943880124,0.6829597896003733,0.1471950822948731,44.81481481481481,33.33333333333333,0.8842413958279716
spy_only,1,3,-0.04159012655789215,0.10135778206027159,3.8712524458827935,0.4957456732915371,0.24752825215222385,40.37037037037037,0.0,0.9079701585522326
veg_only,5,3,-0.05658299093284921,0.17110112389286125,3.8733596587284533,0.4100882641653543,0.46097813828499185,43.8562091503268,33.33333333333333,0.8538972250969212
quarter_only,1,3,-0.056983550542237284,0.0941167347093557,3.904309809109249,0.5245204645924318,0.20343568836078182,37.03703703703704,33.33333333333333,0.9139792567615218
stoch_only,3,3,-0.06499363422539217,0.11700380791881121,3.93225842690321,0.6430579919661376,0.12329435876064347,39.42155638784852,0.0,0.8952520957499587
rsi_only,2,3,-0.06674479485086704,0.08315013645378624,3.9252179323535863,0.5380044906228423,0.15897353736839076,40.11494252873563,0.0,0.9232330462275355
atr_only,1,3,-0.08070685129206039,0.07745677740767698,3.9638410863672515,0.6301188695782606,-0.12286840096800611,45.18518518518519,0.0,0.9281114759943918
bb_only,1,3,-0.08256015795177689,0.0653685880030525,3.960146796185222,0.5721669922354348,-0.0197931350722243,40.0,0.0,0.9386422795461046
top_5,5,3,-0.08384193196490475,0.1499179411752765,3.9397135902021874,0.4955148710556623,0.23344164836515732,44.8780487804878,0.0,0.8696272700797655
hull_only,3,3,-0.09343917295587045,0.08539278727425277,3.984933656785159,0.6234625853459888,0.007556098849701896,39.629629629629626,0.0,0.9213254516932071
day_only,1,3,-0.0938436429831034,0.08155230579270237,3.98317688835724,0.6030460008370558,0.009245248525249845,40.370370370370374,0.0,0.9245969840238747
hull_macd,7,3,-0.09850232220348072,0.10101610741031347,3.9922362821542516,0.624055245042573,0.014503887555538513,38.888888888888886,0.0,0.9082519258978761
all_features,31,3,-0.09879182409860417,0.0958425903163606,3.9893576140869698,0.5954556455394734,,42.22222222222222,66.66666666666666,0.9125398198944871
macd_only,4,3,-0.09894299032994451,0.10899793794825557,3.9924847824177063,0.6277594372520265,-0.016268845365732625,40.528506034124014,0.0,0.9017149318150118
signal_only,1,3,-0.10905796834007864,0.10462067817357719,4.0102960850193154,0.6219054685340174,-0.021872476750534598,40.74074074074074,0.0,0.905288140770132
non_redundant,29,3,-0.10908176221876464,0.1335456184218692,3.9980902723923237,0.5664390453965014,0.32388252460242534,41.851851851851855,33.33333333333333,0.8821876982703242
volume_only,1,3,-0.10926439011198556,0.09607588138700165,4.009225445139141,0.6041243878027622,-0.047498467303446736,37.77777777777778,0.0,0.9123455930209641
return_only,5,3,-0.10942225232767026,0.10432039241238757,4.008535193735297,0.6046250440637331,-0.047473905414588756,39.25925925925926,0.0,0.9055343058688794
top_per_category,26,3,-0.11023666359028794,0.1276047703799416,4.0101064840663545,0.629585019428019,0.15813731056744348,39.629629629629626,33.33333333333333,0.8868355529065864
top_10,10,3,-0.1205287681631595,0.1240324818575791,4.023322675009382,0.5896847307519115,0.18908312828793514,37.407407407407405,66.66666666666666,0.8896540056808655
top_20,20,3,-0.12252037610633686,0.13062253474710642,4.025503180520183,0.5876496863163235,0.15913645349454544,38.88888888888889,0.0,0.8844684846332701
top_8,8,3,-0.12637389792731243,0.1150863691446208,4.039822813793365,0.6235852641685022,,40.0,0.0,0.8967915200748949
relative_only,1,3,-0.13056670262703815,0.11315486884104886,4.044086845837149,0.5994261120852377,-0.1329749738799951,37.77777777777778,0.0,0.898347595641513
top_15,15,3,-0.13396282085162423,0.12163705599656073,4.053224191287069,0.6302993191718258,,40.37037037037037,0.0,0.8915539965925183
